City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,georgetown,5.4112,100.3354,31.96,58,20,3.6,MY,1727503819
315,pangody,65.85,74.4859,11.48,78,61,5.68,RU,1727503904
316,mandera,3.9366,41.867,28.82,49,80,6.04,KE,1727503906
317,formosa,-26.1775,-58.1781,14.98,95,0,2.36,AR,1727503909
318,calvi,42.5,8.8333,15.35,59,40,6.69,FR,1727503910
319,nadym,65.5333,72.5167,12.51,71,63,5.95,RU,1727503911
320,pagar alam,-4.0167,103.2667,29.87,51,19,2.6,ID,1727503914
321,sofifi,0.7349,127.576,28.58,75,43,1.58,ID,1727503915
322,pont rouge,48.8833,-72.0825,11.06,97,96,1.28,CA,1727503916
323,acarau,-2.8856,-40.12,24.81,84,54,6.24,BR,1727503917
324,kapa'a,22.0752,-159.319,26.18,83,75,4.12,US,1727503919
325,goondiwindi,-28.55,150.3167,20.45,45,97,4.64,AU,1727503920
326,saguenay,48.4168,-71.0657,13.93,86,100,4.63,CA,1727503921
327,eureka,40.8021,-124.1637,12.89,95,2,0.8,US,1727503922
328,la passe,45.5549,-0.8967,8.13,87,11,3.47,FR,1727503923
329,metlili chaamba,32.2667,3.6333,26.78,38,1,2.26,DZ,1727503705
330,dwarka,22.2394,68.9678,28.53,76,100,5.94,IN,1727503926
331,zeya,53.75,127.2667,9.72,86,100,2.69,RU,1727503927
332,amarante do maranhao,-5.5667,-46.7422,22.6,76,12,0.84,BR,1727503928
333,blenheim,-41.516,173.9528,9.19,79,37,1.45,NZ,1727503876
334,sao geraldo do araguaia,-6.4006,-48.555,26.82,56,50,0.83,BR,1727503932
335,san juan de miraflores,-12.1629,-76.9635,16.76,87,76,2.35,PE,1727503933
336,menongue,-14.6585,17.691,21.92,30,3,3.06,AO,1727503935
337,mossendjo,-2.9506,12.7261,21.59,95,100,1.18,CG,1727503936
338,tamanrasset,22.785,5.5228,24.95,29,0,3.6,DZ,1727503937
